"COUNTRY","PERCAPITAGDP_2010_USD","POPULATION","EFCON_PERCAP","BIOCAP_PERCAP"
"Afghanistan",610.242,31628000,0.772260062,0.504076701
"Albania",4413.56,2890000,2.141634637,1.051547003
"Algeria",4675.89,38934000,2.448755226,0.541530572
"Angola",3747.57,24228000,1.55887338,2.290336445
"Antigua and Barbuda",12403.5,91000,4.184473747,0.933321582
"Argentina",10323.2,42980000,3.689728277,6.709046747
"Armenia",3827.34,3006000,2.018594914,0.78590562
"Aruba",,103000,6.407520227,0.571144371
"Australia",54394.3,23622000,6.885746416,13.25100985
"Austria",47886.6,8517000,5.876423585,3.014430052
"Azerbaijan",6122.98,9630000,2.169584949,0.704925149
"Bahamas",21078.7,383000,4.823439598,9.339948362
"Bahrain",22390.7,1362000,8.711071703,0.534703612
"Bangladesh",922.161,159078000,0.794628274,0.409146356
"Barbados",15864.6,283000,3.552894853,0.163914849
"Belarus",6664.1,9500000,4.692725336,3.434653059
"Belgium",44702.3,11226000,6.705608216,0.939116008
"Belize",4415.99,352000,5.193841047,3.976586831
"Benin",833.662,10598000,1.355686787,0.93628571
"Bermuda",,62000,6.778905763,0.138041268
"Bhutan",2500.26,765000,4.635110994,5.142346533
"Bolivia",2317.26,10562000,3.07447077,16.48778313
"Bosnia and Herzegovina",4992.91,3818000,3.290272952,1.612422655
"Botswana",7574.28,2220000,2.536836265,3.134058281
"Brazil",11866.4,206078000,3.077694535,8.852366409
"Brunei Darussalam",33313.8,417000,5.545401604,2.830122007
"Bulgaria",7299.55,7201000,3.169533252,3.336101235
"Burkina Faso",639.71,17589000,1.311623444,1.114974748
"Burundi",243.102,10817000,0.604794019,0.323974676
"Cabo Verde",3369.64,514000,1.632268238,0.602903885
"Cambodia",972.979,15328000,1.317812033,1.108491962
"Cameroon",1428.22,22773000,1.274120167,1.677084138
"Canada",50067,35588000,8.049687636,15.2494653
"Cayman Islands",,59000,5.478265601,0.308809547
"Central African Republic",302.546,4804000,1.124576701,7.362751848
"Chad",967.103,13587000,1.638616203,1.992710123
"Chile",14702,17763000,4.026400242,3.46923982
"China",6108.24,1400602000,3.70996542,0.975292794
"Colombia",7291.69,47791000,1.913378947,3.708009483
"Comoros",779.84,770000,0.845711805,0.334159352
"Congo",2922.97,4505000,1.214954894,10.48771505
"Congo, Democratic Republic of",378.791,74877000,0.756714993,2.682599099
"Cook Islands",,21000,5.956188429,1.195920172
"Costa Rica",9077.42,4758000,2.510622986,1.584805712
"Croatia",13517.8,4256000,3.632040492,2.993728654
"Cuba",6182.77,11379000,1.906472791,0.795156247
"Cyprus",26977.6,1154000,3.322262164,0.243908148
"Czech Republic",20343.7,10543000,5.599999241,2.653606398
"Côte d'Ivoire",1384.91,22157000,1.303743596,1.974361572
"Denmark",59437.9,5647000,7.127113086,4.425370526
"Djibouti",1508.29,876000,2.937341936,0.752890104
"Dominica",6951.03,72000,2.528567561,1.049555575
"Dominican Republic",6193.76,10406000,1.589008623,0.595746604
"Ecuador",5428.71,15903000,2.043039044,2.071334529
"Egypt",2608.38,89580000,1.984131934,0.473452314
"El Salvador",3668.2,6108000,1.997794089,0.6139169
"Equatorial Guinea",16028.3,821000,3.019844205,3.906728373
"Eritrea",,5110000,0.502791938,1.554005012
"Estonia",17453.4,1316000,6.965273874,9.728692658
"Ethiopia",452.778,96959000,1.088787481,0.626898268
"Fiji",4084.2,886000,3.897278512,2.371570085
"Finland",45239.4,5480000,6.094120602,12.86430787
"France",41431,64159000,4.698092835,2.725764771
"French Guiana",35657.5,261000,2.594551664,102.8599252
"French Polynesia",,280000,4.102331946,1.359635734
"Gabon",9508.15,1688000,2.715199714,25.69576571
"Gambia",530.318,1928000,0.964624155,0.712734285
"Georgia",3851.72,4035000,1.897387804,1.25531515
"Germany",45022.6,80646000,5.047455334,1.790508793
"Ghana",1659.78,26787000,1.95527228,1.360654444
"Greece",22565.7,11001000,4.293608886,1.603978498
"Grenada",7932.67,106000,3.102874484,2.176618455
"Guadeloupe",,466000,4.146922653,0.455798733
"Guatemala",3007.9,16015000,1.839585701,1.048436893
"Guinea",699.964,12276000,1.462458605,1.987863103
"Guinea-Bissau",545.898,1801000,1.279567528,2.899361996
"Guyana",3598.29,764000,2.872008587,68.80187789
"Haiti",728.78,10572000,0.673119432,0.323611705
"Honduras",2059.47,7962000,1.661326987,1.729550008
"Hungary",14119.1,9890000,3.603739196,2.682628928
"India",1646.78,1295292000,1.120082775,0.452173533
"Indonesia",3692.94,254455000,1.608079712,1.271045152
"Iran, Islamic Republic of",6161.1,78144000,3.404047724,0.755124032
"Iraq",5203.44,35273000,2.06668643,0.347924217
"Ireland",54527.3,4675000,4.706650589,3.442643293
"Israel",32661.3,7939000,4.679560706,0.268223925
"Italy",33626.1,59821000,4.292110012,0.936986272
"Jamaica",4714.86,2783000,1.773236744,0.419735108
"Japan",46466.1,126795000,4.744244534,0.604537979
"Jordan",3348.83,7416000,2.136058544,0.209244712
"Kazakhstan",10645.5,17372000,5.813344162,3.446860231
"Kenya",1075.64,44864000,1.039112749,0.532803301
"Kiribati",1565.24,110000,5.843356484,1.287747839
"Korea, Democratic People's Republic of",,25027000,2.87259366,0.592329281
"Korea, Republic of",24323.6,50074000,5.815715949,0.685976437
"Kuwait",36259.4,3753000,7.649152593,0.61099666
"Kyrgyzstan",1003.51,5844000,1.753071348,1.105772473
"Lao People's Democratic Republic",1470.5,6689000,1.784002054,1.83133828
"Latvia",13786.4,1989000,5.625795393,8.007802139
"Lebanon",7447.36,5612000,3.353890617,0.310614952
"Lesotho",1323.24,2109000,1.462411247,0.786221322
"Liberia",376.589,4397000,1.195187664,2.432056579
"Libyan Arab Jamahiriya",,6259000,4.33438617,0.689194257
"Lithuania",14932.6,2917000,5.796873709,4.997835022
"Luxembourg",107153,557000,12.28484212,1.375811812
"Macedonia TFYR",4920.22,2076000,3.081527149,1.618795706
"Madagascar",408.661,23572000,0.976587643,2.485437644
"Malawi",484.369,16695000,0.824202782,0.662306743
"Malaysia",10398.2,29902000,4.422594097,2.388253813
"Mali",705.788,17086000,1.538089365,1.510602341
"Malta",24080.2,418000,4.888544214,0.62049067
"Martinique",,396000,4.467807219,0.376130593
"Mauritania",1326.16,3970000,2.303236601,4.350893192
"Mauritius",9163.63,1269000,3.495044293,0.711835059
"Mexico",9492.99,125386000,2.548578354,1.201989686
"Micronesia, Federated States of",2716.32,104000,5.68478836,3.829960065
"Moldova",1986.94,4072000,1.927385013,1.160120237
"Mongolia",3901.87,2910000,9.49986957,14.95869314
"Montenegro",7045.12,625000,3.416702745,3.018011711
"Montserrat",,5000,4.626123841,1.350898039
"Morocco",3110.21,33921000,1.749562583,0.770368905
"Mozambique",493.252,27216000,0.869687212,1.89674526
"Myanmar",1266.12,53437000,1.548677784,1.881640049
"Namibia",5901.24,2403000,2.086595475,6.518649047
"Nepal",675.735,28175000,1.026344543,0.606700284
"Netherlands",50497.2,16868000,5.923473087,0.864224044
"Nicaragua",1812.99,6014000,1.475227205,2.213574418
"Niger",386.726,19114000,1.755182759,1.428704421
"Nigeria",2563.09,177476000,1.115306778,0.704173344
"Norway",89275,5148000,6.032746434,7.411597687
"Oman",17132.1,4236000,6.315752258,1.541748969
"Pakistan",1111.2,185044000,0.788661662,0.39741684
"Panama",10229.2,3868000,2.32487834,2.889210511
"Papua New Guinea",2271.48,7464000,1.849228212,3.833321604
"Paraguay",3761.91,6553000,3.675733926,10.37233351
"Peru",5823.96,30973000,2.294237472,3.788233699
"Philippines",2505.82,99139000,1.104289718,0.578445571
"Poland",14088.7,38620000,4.442619659,2.075765392
"Portugal",21533.5,10402000,3.687876485,1.270296863
"Qatar",67901.2,2172000,15.65398181,1.177400635
"Romania",9158.52,19652000,2.798524692,2.878186001
"Russian Federation",11493.7,143429000,5.568220041,6.876769056
"Rwanda",672.749,11342000,0.775231504,0.470703366
"Réunion",,855000,5.433471441,0.186221978
"Saint Lucia",7987.53,184000,2.051343528,0.320142908
"Samoa",3524.6,192000,2.386064846,1.878051337
"Sao Tome and Principe",1241,186000,1.785786411,1.019811407
"Saudi Arabia",21183.5,30887000,6.002629332,0.413488266
"Senegal",1018.39,14673000,1.111991705,0.981215961
"Serbia",5593.06,8893000,2.918717046,1.671105458
"Sierra Leone",563.174,6316000,1.226873206,1.25244025
"Singapore",51865.7,5507000,5.85738805,0.058650521
"Slovakia",18003.5,5423000,4.195545513,2.979985807
"Slovenia",23224.4,2066000,4.675454359,2.272624405
"Somalia",,10518000,1.2088653,1.175611983
"South Africa",7626.81,53969000,3.415378922,1.077947013
"South Sudan",820.114,11911000,1.542089326,1.638969979
"Spain",29496.4,46260000,3.805943048,1.328075323
"Sri Lanka",3506.73,20619000,1.531969411,0.481395207
"Sudan",1837.14,39350000,1.21832635,1.149285945
"Suriname",8942.96,538000,3.635389806,88.21240235
"Swaziland",3980.77,1269000,2.398095319,0.89271854
"Sweden",53561.9,9703000,6.591055088,9.74316726
"Switzerland",76410.9,8211000,4.850440134,1.086471753
"Syrian Arab Republic",,18772000,1.46057601,0.506154492
"Tajikistan",892.64,8296000,0.968447238,0.542147697
"Tanzania, United Republic of",806.15,51823000,1.466763219,1.23678962
"Thailand",5589.7,67726000,2.492449712,1.27168598
"Timor-Leste",893.872,1157000,0.566357047,1.691265131
"Togo",531.156,7115000,1.106773529,0.542352339
"Tonga",3581.84,106000,3.302010847,1.58890531
"Trinidad and Tobago",16862.6,1354000,6.689615088,1.56190585
"Tunisia",4265.15,11130000,2.172339815,0.788947456
"Turkey",13312,77524000,3.20786067,1.439331313
"Turkmenistan",6399.27,5307000,5.563078698,2.608856631
"Uganda",642.877,37783000,1.186947869,0.551624823
"Ukraine",3123.92,45002000,2.963994838,2.66741316
"United Arab Emirates",39034.4,9086000,9.752580855,0.556872868
"United Kingdom",40908.7,64331000,4.799216134,1.205052827
"United States of America",50782.5,319449000,8.366051558,3.583764622
"Uruguay",13856.7,3420000,2.981182412,10.32411671
"Uzbekistan",1744.49,29470000,2.170705887,0.889454467
"Vanuatu",2909.78,259000,3.796226007,2.361576044
"Venezuela, Bolivarian Republic of",13709,30694000,3.271243368,2.688609272
"Viet Nam",1596.35,92423000,1.73407381,1.046038401
"Yemen",1101.12,26184000,1.007929652,0.429276909
"Zambia",1620.82,15721000,0.953958895,2.008592145
"Zimbabwe",939.78,15246000,1.0881328,0.540845367
